start_time,end_time,duration_hours
2019-09-28 22:10:00,2019-09-28 23:35:00,1.4166666666666667
2019-09-28 23:45:00,2019-09-29 00:20:00,0.5833333333333334
2019-09-29 00:30:00,2019-09-29 02:50:00,2.3333333333333335
2019-09-29 03:00:00,2019-09-29 03:30:00,0.5
2019-09-29 04:20:00,2019-09-29 07:35:00,3.25
2019-09-29 08:15:00,2019-09-29 10:15:00,2.0
2019-09-29 11:20:00,2019-09-29 11:50:00,0.5
2019-09-29 12:20:00,2019-09-30 14:40:00,26.333333333333332
2019-09-30 14:50:00,2019-09-30 15:30:00,0.6666666666666666
2019-12-04 07:20:00,2019-12-04 11:30:00,4.166666666666667
2019-12-04 13:55:00,2019-12-05 14:10:00,24.25
2019-12-05 14:20:00,2019-12-06 18:35:00,28.25
2019-12-06 18:45:00,2019-12-07 12:00:00,17.25
2019-12-07 13:00:00,2019-12-11 09:15:00,92.25
2019-12-11 09:25:00,2019-12-11 22:20:00,12.916666666666666
2019-12-11 22:35:00,2019-12-13 09:25:00,34.833333333333336
2019-12-13 09:35:00,2019-12-14 02:55:00,17.333333333333332
2019-12-14 03:05:00,2019-12-20 11:30:00,152.41666666666666
2019-12-20 11:40:00,2019-12-20 12:10:00,0.5
2019-12-20 12:20:00,2019-12-23 12:35:00,72.25
2019-12-23 13:00:00,2019-12-23 17:05:00,4.083333333333333
2019-12-23 19:25:00,2019-12-23 20:30:00,1.0833333333333333
2020-03-27 04:55:00,2020-03-28 12:45:00,31.833333333333332
2020-03-28 12:55:00,2020-03-29 13:45:00,24.833333333333332
2020-03-29 14:15:00,2020-03-29 20:50:00,6.583333333333333
2020-03-29 21:00:00,2020-03-29 22:20:00,1.3333333333333333
2020-03-29 22:30:00,2020-03-30 03:40:00,5.166666666666667
2020-03-30 04:20:00,2020-03-30 14:35:00,10.25
2020-03-30 14:45:00,2020-03-31 00:40:00,9.916666666666666
2020-03-31 00:50:00,2020-03-31 02:35:00,1.75
2020-03-31 02:45:00,2020-03-31 04:50:00,2.0833333333333335
2020-03-31 05:00:00,2020-03-31 05:40:00,0.6666666666666666
2020-03-31 05:55:00,2020-03-31 14:05:00,8.166666666666666
2020-03-31 14:15:00,2020-03-31 16:55:00,2.6666666666666665
2020-03-31 17:05:00,2020-03-31 17:35:00,0.5
2020-03-31 17:55:00,2020-04-01 04:00:00,10.083333333333334
2020-04-01 04:10:00,2020-04-01 06:05:00,1.9166666666666667
2020-04-01 06:15:00,2020-04-02 04:30:00,22.25
