start_time,end_time,duration_minutes,cluster,state,implicated_variables,severity
2017-01-20 04:40:00,2017-01-20 04:40:00,0.0,0,Normal Operation,"Cyclone_Inlet_Draft, Cyclone_Inlet_Gas_Temp, Cyclone_Outlet_Gas_draft",3.907617294596665
2018-12-10 21:50:00,2018-12-10 22:15:00,25.0,0,Normal Operation,"Cyclone_Inlet_Gas_Temp, Cyclone_Inlet_Draft, Cyclone_Outlet_Gas_draft",3.907573465970457
2019-10-27 08:45:00,2019-10-27 09:00:00,15.0,0,Normal Operation,"Cyclone_Outlet_Gas_draft, Cyclone_cone_draft, Cyclone_Inlet_Draft",3.9031430951646864
2019-09-07 02:45:00,2019-09-07 02:45:00,0.0,0,Normal Operation,"Cyclone_Inlet_Gas_Temp, Cyclone_Gas_Outlet_Temp, Cyclone_Material_Temp",3.9026384628073063
2018-01-21 04:50:00,2018-01-21 04:50:00,0.0,0,Normal Operation,"Cyclone_Inlet_Gas_Temp, Cyclone_Gas_Outlet_Temp, Cyclone_Material_Temp",3.902251403735687
2017-09-03 00:30:00,2017-09-03 00:30:00,0.0,0,Normal Operation,"Cyclone_Inlet_Gas_Temp, Cyclone_cone_draft, Cyclone_Inlet_Draft",3.89567139951815
2019-04-07 04:00:00,2019-04-07 04:00:00,0.0,0,Normal Operation,"Cyclone_Inlet_Gas_Temp, Cyclone_Gas_Outlet_Temp, Cyclone_Material_Temp",3.8952843404465303
2018-06-09 22:50:00,2018-06-09 22:55:00,5.0,0,Normal Operation,"Cyclone_Inlet_Draft, Cyclone_cone_draft, Cyclone_Outlet_Gas_draft",3.895175086433631
2019-08-16 10:45:00,2019-08-16 10:45:00,0.0,0,Normal Operation,"Cyclone_Inlet_Gas_Temp, Cyclone_cone_draft, Cyclone_Inlet_Draft",3.8915700623981135
2017-01-23 02:55:00,2017-01-23 03:15:00,20.0,3,Degraded / Unstable,"Cyclone_Material_Temp, Cyclone_Gas_Outlet_Temp, Cyclone_Inlet_Gas_Temp",3.8900792762908596
2019-08-30 07:05:00,2019-08-30 07:05:00,0.0,0,Normal Operation,"Cyclone_Inlet_Gas_Temp, Cyclone_Inlet_Draft, Cyclone_Outlet_Gas_draft",3.8894784543722363
2018-08-26 16:55:00,2018-08-26 16:55:00,0.0,0,Normal Operation,"Cyclone_Inlet_Gas_Temp, Cyclone_Material_Temp, Cyclone_cone_draft",3.888317277157378
2018-07-25 22:20:00,2018-07-25 22:20:00,0.0,0,Normal Operation,"Cyclone_Inlet_Gas_Temp, Cyclone_Gas_Outlet_Temp, Cyclone_Material_Temp",3.885220804584419
2018-07-10 19:20:00,2018-07-10 19:30:00,10.0,0,Normal Operation,"Cyclone_Inlet_Gas_Temp, Cyclone_Gas_Outlet_Temp, Cyclone_Material_Temp",3.8841886470600997
2018-01-03 19:30:00,2018-01-03 19:30:00,0.0,0,Normal Operation,"Cyclone_Inlet_Gas_Temp, Cyclone_cone_draft, Cyclone_Material_Temp",3.8828984501547033
2018-03-17 07:20:00,2018-03-17 07:20:00,0.0,0,Normal Operation,"Cyclone_Inlet_Gas_Temp, Cyclone_Gas_Outlet_Temp, Cyclone_Material_Temp",3.8825113910830837
2017-04-19 22:30:00,2017-04-19 23:50:00,80.0,0,Normal Operation,"Cyclone_Inlet_Gas_Temp, Cyclone_Outlet_Gas_draft, Cyclone_Inlet_Draft",3.881616316979961
2019-04-10 16:05:00,2019-04-10 16:05:00,0.0,0,Normal Operation,"Cyclone_Inlet_Gas_Temp, Cyclone_Gas_Outlet_Temp, Cyclone_Material_Temp",3.879414918510125
2018-08-26 17:30:00,2018-08-26 17:30:00,0.0,0,Normal Operation,"Cyclone_Inlet_Gas_Temp, Cyclone_Material_Temp, Cyclone_cone_draft",3.876318445937166
2017-12-29 06:50:00,2017-12-29 06:50:00,0.0,0,Normal Operation,"Cyclone_Inlet_Draft, Cyclone_Outlet_Gas_draft, Cyclone_Inlet_Gas_Temp",3.870975599159023
2018-06-18 20:20:00,2018-06-18 20:30:00,10.0,0,Normal Operation,"Cyclone_Inlet_Gas_Temp, Cyclone_Material_Temp, Cyclone_Gas_Outlet_Temp",3.870899618934491
2017-12-27 16:00:00,2017-12-27 16:00:00,0.0,0,Normal Operation,"Cyclone_cone_draft, Cyclone_Inlet_Draft, Cyclone_Outlet_Gas_draft",3.867517271682293
2019-05-02 11:50:00,2019-05-02 11:55:00,5.0,0,Normal Operation,"Cyclone_Inlet_Gas_Temp, Cyclone_Gas_Outlet_Temp, Cyclone_Material_Temp",3.8645131442527654
2018-06-10 02:20:00,2018-06-10 02:20:00,0.0,0,Normal Operation,"Cyclone_Inlet_Gas_Temp, Cyclone_Gas_Outlet_Temp, Cyclone_cone_draft",3.862384319358857
2018-11-03 23:25:00,2018-11-03 23:40:00,15.0,0,Normal Operation,"Cyclone_Inlet_Gas_Temp, Cyclone_cone_draft, Cyclone_Inlet_Draft",3.8594168664764403
2019-11-03 18:00:00,2019-11-03 18:00:00,0.0,0,Normal Operation,"Cyclone_Inlet_Draft, Cyclone_Outlet_Gas_draft, Cyclone_cone_draft",3.8570223932459817
