cluster,state_name,count,percentage,avg_inlet_temp,avg_outlet_temp,avg_material_temp,avg_inlet_draft,std_inlet_temp,avg_duration_hours
0,Normal Operation,288431,81.1896210056973,892.5120192352956,878.8774975293533,925.210489049374,-181.09468863918542,25.83584970158247,24035.916666666668
1,High Load,6277,1.7668948589186388,339.34806135273396,334.7037772821411,354.8254944860425,-49.0509703857115,379.3574922837216,523.0833333333334
2,Low Load / Startup,52435,14.759778863692661,147.21971736435586,144.768112668595,131.7364127544155,-2.2523541845459456,190.72254496146493,4369.583333333333
3,Degraded / Unstable,8112,2.2834237845384737,867.4578807733399,832.0152640943458,891.1865823882314,-90.13373376890205,105.69581311209281,676.0
